sig,m,eci,d,diam
G?@Hl{,11,50,5,3
G?CTZ[,11,50,5,3
G??H~w,11,50,5,3
G?AJvg,11,50,5,3
G_?gvk,11,50,5,3
G?BsrS,11,50,5,3
G??Zs{,11,50,5,3
G??B~w,11,50,5,3
G?DDJ{,11,51,5,3
G?CJnW,11,51,5,3
G?CrU[,11,51,5,3
G?QHzg,11,51,5,3
G?BHvc,11,51,5,3
G??i|s,11,51,5,3
GGCSZ[,11,51,5,3
G?HA|k,11,51,5,3
G??mp{,11,51,5,3
G@?I^k,11,51,5,3
G?GY^c,11,51,5,3
GGCO^[,11,51,5,3
G@`it_,11,51,5,3
G??Z^g,11,51,5,3
